2021, Sam, India, 23, 2300, 3
2021, Ram, India, 23, 300, 30
2021, Mano, India, 23, 300, 13
2022, satya, australia , 30 , 350, 15
2021, kapil, India, 35, 400, 20
2021, karan, pakistan, 40, 500, 23
2022, kamal, India, 30, 1233, 20
2020, Alex, South Africa, 24, 200, 55
2009, John, India, 21, 3200, 6
2008, Peterson, Pakistan, 22, 10, 4
2014, Alia, India, 24, 3220, 7
2018, Mohan, Australia, 25, 2100, 57
2019, Rahul, India, 24, 22300, 577
2021, Raj singh, India, 22, 3000, 3
2019, Raju, New Zealand, 25, 2300, 14
2019, json, New Zealand, 25, 2400, 14
